2025-08-23T05:36:47.329812800,CAT-1,12.80
2025-08-23T05:37:47.333111600,CAT-2,27.30
2025-08-23T05:38:47.333111600,CAT-3,22.48
2025-08-23T05:39:47.333111600,CAT-4,21.39
2025-08-23T05:40:47.333111600,CAT-5,54.81
2025-08-23T05:41:47.333111600,CAT-6,26.65
2025-08-23T05:42:47.333111600,CAT-7,94.02
2025-08-23T05:43:47.333111600,CAT-8,49.30
2025-08-23T05:44:47.333111600,CAT-9,84.99
2025-08-23T05:45:47.333111600,CAT-0,94.83
2025-08-23T05:46:47.333111600,CAT-1,52.45
2025-08-23T05:47:47.333111600,CAT-2,19.61
2025-08-23T05:48:47.333111600,CAT-3,79.82
2025-08-23T05:49:47.333111600,CAT-4,96.83
2025-08-23T05:50:47.333111600,CAT-5,0.91
2025-08-23T05:51:47.333111600,CAT-6,67.07
2025-08-23T05:52:47.333111600,CAT-7,25.29
2025-08-23T05:53:47.333111600,CAT-8,84.63
2025-08-23T05:54:47.333111600,CAT-9,16.98
2025-08-23T05:55:47.333111600,CAT-0,90.54
2025-08-23T05:56:47.333111600,CAT-1,55.03
2025-08-23T05:57:47.333111600,CAT-2,4.40
2025-08-23T05:58:47.333111600,CAT-3,27.37
2025-08-23T05:59:47.333111600,CAT-4,82.37
2025-08-23T06:00:47.333111600,CAT-5,4.20
2025-08-23T06:01:47.333111600,CAT-6,4.61
2025-08-23T06:02:47.333111600,CAT-7,34.61
2025-08-23T06:03:47.335930900,CAT-8,37.56
2025-08-23T06:04:47.335930900,CAT-9,46.57
2025-08-23T06:05:47.335930900,CAT-0,34.43
2025-08-23T06:06:47.335930900,CAT-1,66.33
2025-08-23T06:07:47.335930900,CAT-2,49.23
2025-08-23T06:08:47.335930900,CAT-3,20.34
2025-08-23T06:09:47.335930900,CAT-4,19.84
2025-08-23T06:10:47.335930900,CAT-5,31.76
2025-08-23T06:11:47.335930900,CAT-6,33.94
2025-08-23T06:12:47.335930900,CAT-7,63.92
2025-08-23T06:13:47.335930900,CAT-8,5.11
2025-08-23T06:14:47.335930900,CAT-9,12.60
2025-08-23T06:15:47.335930900,CAT-0,20.32
2025-08-23T06:16:47.335930900,CAT-1,76.44
2025-08-23T06:17:47.335930900,CAT-2,51.99
2025-08-23T06:18:47.335930900,CAT-3,85.61
2025-08-23T06:19:47.335930900,CAT-4,77.28
2025-08-23T06:20:47.335930900,CAT-5,90.01
2025-08-23T06:21:47.335930900,CAT-6,95.71
2025-08-23T06:22:47.335930900,CAT-7,72.98
2025-08-23T06:23:47.335930900,CAT-8,54.71
2025-08-23T06:24:47.335930900,CAT-9,90.90
2025-08-23T06:25:47.335930900,CAT-0,67.12
2025-08-23T06:26:47.335930900,CAT-1,43.02
2025-08-23T06:27:47.335930900,CAT-2,58.40
2025-08-23T06:28:47.335930900,CAT-3,54.67
2025-08-23T06:29:47.335930900,CAT-4,3.86
2025-08-23T06:30:47.335930900,CAT-5,38.69
2025-08-23T06:31:47.335930900,CAT-6,83.80
2025-08-23T06:32:47.335930900,CAT-7,67.03
2025-08-23T06:33:47.335930900,CAT-8,89.90
2025-08-23T06:34:47.335930900,CAT-9,94.20
2025-08-23T06:35:47.335930900,CAT-0,88.52
2025-08-23T06:36:47.335930900,CAT-1,86.45
2025-08-23T06:37:47.335930900,CAT-2,82.31
2025-08-23T06:38:47.335930900,CAT-3,11.14
2025-08-23T06:39:47.335930900,CAT-4,92.16
2025-08-23T06:40:47.335930900,CAT-5,67.24
2025-08-23T06:41:47.335930900,CAT-6,6.98
2025-08-23T06:42:47.335930900,CAT-7,4.61
2025-08-23T06:43:47.335930900,CAT-8,54.17
2025-08-23T06:44:47.335930900,CAT-9,2.37
2025-08-23T06:45:47.335930900,CAT-0,30.90
2025-08-23T06:46:47.335930900,CAT-1,97.10
2025-08-23T06:47:47.335930900,CAT-2,94.93
